Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
6/9/2017 18:05,6/9/2017 18:19,816,Wood St & Division St,Wells St & Walton St,Subscriber,Male,1989
3/29/2017 18:29,3/29/2017 18:38,527,Wells St & Huron St,Clinton St & Washington Blvd,Subscriber,Male,1956
4/23/2017 13:16,4/23/2017 13:40,1463,Field Blvd & South Water St,Clark St & North Ave,Subscriber,Male,1983
5/12/2017 17:57,5/12/2017 18:04,452,Morgan St & Polk St,Loomis St & Taylor St (*),Subscriber,Female,1997
2/1/2017 7:27,2/1/2017 7:31,262,Halsted St & Roscoe St,Wilton Ave & Belmont Ave,Subscriber,Female,1993
6/27/2017 7:39,6/27/2017 7:45,340,Wacker Dr & Washington St,Dearborn St & Adams St,Subscriber,Male,1982
3/24/2017 14:15,3/24/2017 14:27,681,Sheridan Rd & Lawrence Ave,Broadway & Thorndale Ave,Subscriber,Male,1984
4/21/2017 17:37,4/21/2017 17:54,969,Orleans St & Merchandise Mart Plaza,Desplaines St & Randolph St,Subscriber,Male,1990
6/8/2017 19:16,6/8/2017 19:27,660,Damen Ave & Grand Ave,Ashland Ave & Division St,Customer,,
2/10/2017 18:25,2/10/2017 18:36,694,Marshfield Ave & Cortland St,Larrabee St & Menomonee St,Subscriber,Male,1969
6/29/2017 7:25,6/29/2017 7:49,1412,Campbell Ave & Fullerton Ave,Larrabee St & Kingsbury St,Subscriber,Male,1990
6/16/2017 16:31,6/16/2017 16:42,660,Wilton Ave & Belmont Ave,Clark St & Armitage Ave,Subscriber,Female,1985
4/19/2017 11:56,4/19/2017 12:07,667,Clinton St & Madison St,State St & Kinzie St,Subscriber,Male,1979
5/30/2017 18:32,5/30/2017 18:41,515,Desplaines St & Kinzie St,Clinton St & Tilden St,Subscriber,Male,1986
2/23/2017 8:45,2/23/2017 8:54,542,Cottage Grove Ave & 71st St,Cottage Grove Ave & 78th St,Subscriber,Female,1961
6/23/2017 19:19,6/23/2017 19:30,635,Sheffield Ave & Wrightwood Ave,Southport Ave & Roscoe St,Subscriber,Male,1992
5/31/2017 14:40,5/31/2017 14:50,563,Wabash Ave & Grand Ave,Wacker Dr & Washington St,Subscriber,Female,1974
5/27/2017 18:16,5/27/2017 19:03,2808,McClurg Ct & Illinois St,Michigan Ave & Oak St,Customer,,
6/15/2017 16:32,6/15/2017 16:41,538,Stetson Ave & South Water St,Clinton St & Madison St,Subscriber,Male,1956
5/28/2017 17:40,5/28/2017 17:56,926,Burnham Harbor,Lake Shore Dr & Monroe St,Subscriber,Male,1989
5/28/2017 17:29,5/28/2017 18:02,1951,Lake Shore Dr & North Blvd,Lake Shore Dr & Monroe St,Customer,,
6/11/2017 18:32,6/11/2017 18:43,679,Ravenswood Ave & Berteau Ave,Campbell Ave & Montrose Ave,Subscriber,Male,1953
4/15/2017 11:42,4/15/2017 12:06,1414,Dusable Harbor,Streeter Dr & Grand Ave,Customer,,
5/17/2017 22:19,5/17/2017 22:31,721,Damen Ave & Augusta Blvd,Leavitt St & North Ave,Subscriber,Male,1986
1/4/2017 17:46,1/4/2017 17:51,292,California Ave & Milwaukee Ave,Kedzie Ave & Palmer Ct,Subscriber,Male,1990
6/25/2017 14:20,6/25/2017 14:51,1852,Lakefront Trail & Bryn Mawr Ave,Lake Shore Dr & Wellington Ave,Subscriber,Female,1989
5/19/2017 18:11,5/19/2017 18:15,269,Wabash Ave & Adams St,Daley Center Plaza,Subscriber,Female,1989
3/20/2017 18:05,3/20/2017 18:10,296,Franklin St & Monroe St,State St & Randolph St,Subscriber,Male,1984
5/21/2017 14:31,5/21/2017 14:44,827,Dearborn St & Erie St,Lakeview Ave & Fullerton Pkwy,Subscriber,Male,1984
6/23/2017 16:34,6/23/2017 17:53,4753,Dusable Harbor,Millennium Park,Customer,,
4/26/2017 6:59,4/26/2017 7:09,596,Morgan St & 18th St,Halsted St & Polk St,Subscriber,Female,1989
2/22/2017 18:17,2/22/2017 18:25,472,Franklin St & Lake St,Kingsbury St & Erie St,Subscriber,Male,1984
1/27/2017 9:53,1/27/2017 9:58,311,Sedgwick St & North Ave,Clark St & Lincoln Ave,Subscriber,Female,1983
4/14/2017 16:28,4/14/2017 16:40,721,Indiana Ave & Roosevelt Rd,Millennium Park,Customer,,
2/2/2017 10:13,2/2/2017 10:39,1539,Halsted St & Polk St,State St & Pearson St,Subscriber,Male,1954
5/28/2017 21:07,5/28/2017 21:14,411,California Ave & Milwaukee Ave,Spaulding Ave & Armitage Ave,Subscriber,Male,1971
5/16/2017 19:34,5/16/2017 19:36,124,Clinton St & Madison St,Clinton St & Lake St,Subscriber,Male,1986
4/6/2017 10:20,4/6/2017 10:24,227,Green St & Madison St,Clinton St & Washington Blvd,Subscriber,Male,1976
3/2/2017 17:39,3/2/2017 17:55,997,LaSalle St & Jackson Blvd,McClurg Ct & Illinois St,Subscriber,Male,1953
2/18/2017 15:54,2/18/2017 16:15,1295,Lake Shore Dr & Monroe St,Clark St & Randolph St,Customer,,
6/30/2017 15:30,6/30/2017 15:53,1394,Buckingham Fountain,Shedd Aquarium,Customer,,
6/14/2017 7:09,6/14/2017 7:25,1000,Eckhart Park,McClurg Ct & Erie St,Subscriber,Female,1988
1/11/2017 6:45,1/11/2017 6:51,373,Clinton St & Washington Blvd,Dearborn St & Monroe St,Subscriber,Male,1970
2/27/2017 14:29,2/27/2017 14:45,972,Halsted St & Wrightwood Ave,Marshfield Ave & Cortland St,Subscriber,Female,1997
4/18/2017 23:05,4/18/2017 23:32,1571,Larrabee St & Webster Ave,Clark St & Wellington Ave,Subscriber,Male,1995
5/21/2017 17:29,5/21/2017 17:48,1142,Broadway & Granville Ave,Broadway & Argyle St,Customer,,
1/30/2017 20:54,1/30/2017 20:58,245,Dearborn St & Erie St,Sedgwick St & Huron St,Subscriber,Female,1984
5/25/2017 19:30,5/25/2017 19:48,1091,Greenview Ave & Fullerton Ave,Lake Shore Dr & North Blvd,Subscriber,Male,1979
5/6/2017 17:09,5/6/2017 18:06,3469,Forest Ave & Chicago Ave,Forest Ave & Chicago Ave,Customer,,
